,merchant_name,broken_link_score,link_contact_us_exist,cu_email_exist,cu_phone_number_exist,link_about_us_exist,link_tnc_exist,tnc_refund_policy_exist,contact_us_score,tnc_score,label,broken_links
0, Central Jaya Tehnik                        ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Gardena Departement Store                  ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, JVM Indonesia                              ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Yayasan Green Sejahtera                    ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Tanah Air Foundation                       ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Babo Babo Trading                          ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, BenihBaik.com                              ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Yayasan Dewan Inggris Indonesia            ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, CPD Social Commerce                        ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Miss Katy                                  ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, CV. ASIA TRIP INDONESIA                    ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Manikid                                    ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Jare's                                     ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, globomart                                  ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Scars                                      ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Hatapoda.ID                                ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Honey Softlens                             ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, Ngastadamel                                ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, MarkPlus Institute                         ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, PT. Anugerah Mas                           ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, unilead-asia.com                           ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
0, prueba comercial                           ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'': 'None'}
